regiao;populacao
    Rondônia;1503928
    Acre;691132
    Amazonas;3393369
    Roraima;421499
    Pará;7431020
    Amapá;626609
    Tocantins;1292051
    Maranhão;6367138
    Piauí;3145325
    Ceará;8547809
    Rio Grande do Norte;3137541
    Paraíba;3769977
    Pernambuco;8810256
    Alagoas;3156108
    Sergipe;2019679
    Bahia;14637364
    Minas Gerais;20033665
    Espírito Santo;3487199
    Rio de Janeiro;16010429
    São Paulo;41384039
    Paraná;10686247
    Santa Catarina;6118743
    Rio Grande do Sul;10914128
    Mato Grosso do Sul;2360498
    Mato Grosso;3001692
    Goiás;5926300
    Distrito Federal;2606885
